Card Name,Card Description,List Name,Labels,Due Date,Members
JSON Beautifier,"Format and validate JSON data

Category: formatters
Tool ID: json-beautifier
Tier: free",Done,"formatters,Simple",,
REST API Tester,"Test REST APIs like Postman

Category: api-testing
Tool ID: rest-api-tester
Tier: premium",Done,"api-testing,Complex",,
gRPC Tester,"Test gRPC services

Category: api-testing
Tool ID: grpc-tester
Tier: premium",Done,"api-testing,Complex",,
GraphQL Playground,"Test GraphQL APIs

Category: api-testing
Tool ID: graphql-playground
Tier: premium",Done,"api-testing,Simple",,
WebSocket Tester,"Test WebSocket connections

Category: api-testing
Tool ID: websocket-tester
Tier: premium",Done,"api-testing,Complex",,
UI Recorder,"Record UI interactions and generate Playwright code

Category: automation
Tool ID: ui-recorder
Tier: premium",Done,"automation,Simple",,
Base64 Encoder/Decoder,"Encode and decode Base64 strings

Category: encoders
Tool ID: base64-encoder
Tier: free",Done,"encoders,Simple",,
URL Encoder/Decoder,"Encode and decode URLs

Category: encoders
Tool ID: url-encoder
Tier: free",To Do,"encoders,Simple",,
JWT Encoder/Decoder,"Encode and decode JWT tokens

Category: security
Tool ID: jwt-decoder
Tier: free",To Do,"security,Simple",,
String Profiler,"Comprehensive string analysis and manipulation tool

Category: text-tools
Tool ID: string-operations
Tier: free",To Do,"text-tools,Simple",,
Timestamp Converter,"Convert between Unix timestamps and human-readable dates

Category: generators
Tool ID: timestamp-converter
Tier: free",Done,"generators,Medium",,
Hash Generator,"Generate and verify hashes (MD5, SHA-1, SHA-256, SHA-512)

Category: security
Tool ID: hash-generator
Tier: free",Done,"security,Medium",,
UUID Generator,"Generate UUIDs/GUIDs in various formats

Category: generators
Tool ID: uuid-generator
Tier: free",Done,"generators,Medium",,
TOTP Generator,"Generate Time-based One-Time Passwords (2FA codes)

Category: generators
Tool ID: totp-generator
Tier: free",Done,"generators,Medium",,
Shell Script Executor,"Execute bash/shell scripts with real-time output

Category: devops
Tool ID: shell-executor
Tier: free",Done,"devops,Simple",,
Cron Manager,"Manage cron jobs with live countdown to next run

Category: devops
Tool ID: cron-manager
Tier: free",Done,"devops,Simple",,
S3 Visualizer,"Browse AWS S3 buckets with LocalStack support

Category: devops
Tool ID: s3-visualizer
Tier: free",Done,"devops,Simple",,
Swagger Payload Builder,"Generate request payloads from Swagger/OpenAPI specs

Category: api-testing
Tool ID: swagger-payload-builder
Tier: free",Done,"api-testing,Complex",,
Repayment Calculator,"Calculate loan repayment schedules with amortization

Category: utilities
Tool ID: repayment-calculator
Tier: free",Done,"utilities,Simple",,
Docker UI,"Manage Docker containers, images, and builds

Category: devops
Tool ID: docker-ui
Tier: free",Done,"devops,Simple",,
Code Compare,"Compare code files from different branches/commits with Monaco Diff Editor

Category: utilities
Tool ID: code-compare
Tier: free",Done,"utilities,Simple",,
Kafka Topic Viewer,"Real-time Kafka topic message viewer with advanced filtering and search

Category: devops
Tool ID: kafka-topic-viewer
Tier: free",To Do,"devops,Simple",,
Filebeat Viewer,"View and analyze Filebeat logs with advanced filtering and search

Category: devops
Tool ID: filebeat-viewer
Tier: free",Done,"devops,Simple",,
Vector Viewer,"View and analyze Vector observability data with advanced filtering

Category: devops
Tool ID: vector-viewer
Tier: free",Done,"devops,Simple",,
Data Compare,"Compare schemas and data across SQL, NoSQL, and Excel sources

Category: utilities
Tool ID: data-compare
Tier: free",Done,"utilities,Simple",,
Code Executor,"Execute code in 15+ languages with integrated terminal for dependency management

Category: utilities
Tool ID: code-executor
Tier: free",Done,"utilities,Simple",,
OpenAPI to Test Cases,"Convert OpenAPI specs to test code in Python, Java, JavaScript, Postman, and more

Category: api-testing
Tool ID: openapi-to-tests
Tier: free",To Do,"api-testing,Simple",,
Regex Tester,"Test and debug regular expressions

Category: text-tools
Tool ID: regex-tester
Tier: free",Done,"text-tools,Complex",,
QR Code Generator,"Generate customizable QR codes

Category: generators
Tool ID: qr-code-generator
Tier: free",To Do,"generators,Medium",,
Diff Checker,"Compare text differences

Category: text-tools
Tool ID: diff-checker
Tier: premium",Done,"text-tools,Simple",,
Markdown Visualizer,"Preview and edit Markdown with live rendering

Category: text-tools
Tool ID: markdown-preview
Tier: free",To Do,"text-tools,Simple",,
SQL Formatter,"Format SQL queries

Category: formatters
Tool ID: sql-formatter
Tier: premium",To Do,"formatters,Medium",,
XML Formatter,"Format and validate XML

Category: formatters
Tool ID: xml-formatter
Tier: free",To Do,"formatters,Medium",,
YAML Formatter,"Format and validate YAML

Category: formatters
Tool ID: yaml-formatter
Tier: free",Done,"formatters,Medium",,
Color Picker,"Pick and convert colors

Category: design
Tool ID: color-picker
Tier: free",To Do,"design,Simple",,
Image Optimizer,"Optimize and compress images

Category: design
Tool ID: image-optimizer
Tier: premium",To Do,"design,Simple",,
Cron Expression Builder,"Build cron expressions

Category: generators
Tool ID: cron-expression
Tier: free",To Do,"generators,Simple",,
SSH Key Generator,"Generate and verify SSH key pairs

Category: generators
Tool ID: ssh-key-generator
Tier: free",Done,"generators,Medium",,
SSL Certificate Generator,"Generate self-signed SSL/TLS certificates

Category: generators
Tool ID: ssl-cert-generator
Tier: free",Done,"generators,Medium",,
TOML Formatter,"Format and validate TOML

Category: formatters
Tool ID: toml-formatter
Tier: free",Done,"formatters,Medium",,
JSON Compare,"Compare two JSON documents and highlight differences

Category: json
Tool ID: json-compare
Tier: free",Done,"json,Simple",,
JSON Path Finder,"Find and extract JSON paths

Category: json
Tool ID: json-path-finder
Tier: free",Done,"json,Simple",,
JSON Path Extract,"Extract data from JSON using JSONPath expressions

Category: json
Tool ID: json-path-extract
Tier: free",Done,"json,Simple",,
JSON Tree View,"Visualize JSON data in a collapsible tree structure

Category: json
Tool ID: json-tree-view
Tier: free",Done,"json,Simple",,
JSON Aggregator,"Combine multiple JSON objects into arrays or merge objects

Category: json
Tool ID: json-aggregator
Tier: free",Done,"json,Simple",,
JSON Filter,"Filter JSON data based on various conditions

Category: json
Tool ID: json-filter
Tier: free",Done,"json,Simple",,
Random JSON Generator,"Generate random JSON data with customizable structure (Legacy - use Data Generator instead)

Category: generators
Tool ID: random-json-generator
Tier: free",To Do,"generators,Medium",,
Flatten JSON,"Convert nested JSON objects to flat structures with path-based keys

Category: json
Tool ID: flatten-json
Tier: free",Done,"json,Simple",,
Unflatten JSON,"Convert flat JSON objects with path-based keys to nested structures

Category: json
Tool ID: unflatten-json
Tier: free",Done,"json,Simple",,
JSON Escape/Unescape,"Escape and unescape JSON strings for embedding in code

Category: json
Tool ID: json-escape-unescape
Tier: free",To Do,"json,Simple",,
Random XML Generator,"Generate random XML data with customizable structure

Category: generators
Tool ID: random-xml-generator
Tier: free",Done,"generators,Medium",,
Faker Data Generator,"Generate random fake data using Faker.js library (Legacy - use Data Generator instead)

Category: generators
Tool ID: faker-tool
Tier: free",To Do,"generators,Simple",,
Data Generator,"Generate data in multiple formats (Basic, JSON, CSV, XML, YAML, TOML, SQL) with Faker.js

Category: generators
Tool ID: data-generator
Tier: free",Done,"generators,Medium",,
YAML to JSON,"Convert YAML to JSON format

Category: converters
Tool ID: yaml-to-json
Tier: free",Done,"converters,Simple",,
JSON to YAML,"Convert JSON to YAML format

Category: converters
Tool ID: json-to-yaml
Tier: free",Done,"converters,Simple",,
JSON to XML,"Convert JSON to XML format

Category: converters
Tool ID: json-to-xml
Tier: free",Done,"converters,Simple",,
XML to JSON,"Convert XML to JSON format

Category: converters
Tool ID: xml-to-json
Tier: free",Done,"converters,Simple",,
YAML to TOML,"Convert YAML to TOML format

Category: converters
Tool ID: yaml-to-toml
Tier: free",Done,"converters,Simple",,
TOML to YAML,"Convert TOML to YAML format

Category: converters
Tool ID: toml-to-yaml
Tier: free",Done,"converters,Simple",,
JSON to TOML,"Convert JSON to TOML format

Category: converters
Tool ID: json-to-toml
Tier: free",Done,"converters,Simple",,
TOML to JSON,"Convert TOML to JSON format

Category: converters
Tool ID: toml-to-json
Tier: free",Done,"converters,Simple",,
JSON Schema Validator,"Validate JSON data against a JSON Schema

Category: json
Tool ID: json-schema-validator
Tier: free",Done,"json,Medium",,
XML to YAML,"Convert XML to YAML format

Category: converters
Tool ID: xml-to-yaml
Tier: free",To Do,"converters,Simple",,
YAML to XML,"Convert YAML to XML format

Category: converters
Tool ID: yaml-to-xml
Tier: free",To Do,"converters,Simple",,
XML to TOML,"Convert XML to TOML format

Category: converters
Tool ID: xml-to-toml
Tier: free",To Do,"converters,Simple",,
TOML to XML,"Convert TOML to XML format

Category: converters
Tool ID: toml-to-xml
Tier: free",To Do,"converters,Simple",,
CSV to JSON,"Convert CSV to JSON format

Category: converters
Tool ID: csv-to-json
Tier: free",To Do,"converters,Simple",,
JSON to CSV,"Convert JSON to CSV format

Category: converters
Tool ID: json-to-csv
Tier: free",To Do,"converters,Simple",,
CSV to XML,"Convert CSV to XML format

Category: converters
Tool ID: csv-to-xml
Tier: free",To Do,"converters,Simple",,
XML to CSV,"Convert XML to CSV format

Category: converters
Tool ID: xml-to-csv
Tier: free",To Do,"converters,Simple",,
CSV to YAML,"Convert CSV to YAML format

Category: converters
Tool ID: csv-to-yaml
Tier: free",To Do,"converters,Simple",,
YAML to CSV,"Convert YAML to CSV format

Category: converters
Tool ID: yaml-to-csv
Tier: free",To Do,"converters,Simple",,
CSV to TOML,"Convert CSV to TOML format

Category: converters
Tool ID: csv-to-toml
Tier: free",To Do,"converters,Simple",,
TOML to CSV,"Convert TOML to CSV format

Category: converters
Tool ID: toml-to-csv
Tier: free",To Do,"converters,Simple",,
JSON to HTML Table,"Convert JSON to HTML table format

Category: converters
Tool ID: json-to-html-table
Tier: free",To Do,"converters,Simple",,
CSV to HTML Table,"Convert CSV to HTML table format

Category: converters
Tool ID: csv-to-html-table
Tier: free",To Do,"converters,Simple",,
JSON to TypeScript,"Generate TypeScript interfaces from JSON

Category: converters
Tool ID: json-to-typescript
Tier: free",To Do,"converters,Simple",,
JSON to Go Struct,"Generate Go structs from JSON

Category: converters
Tool ID: json-to-go-struct
Tier: free",To Do,"converters,Simple",,
JSON to Python Class,"Generate Python dataclasses from JSON

Category: converters
Tool ID: json-to-python-class
Tier: free",To Do,"converters,Simple",,
JSON to Java Class,"Generate Java POJOs from JSON

Category: converters
Tool ID: json-to-java-class
Tier: free",To Do,"converters,Simple",,
JSON to C# Class,"Generate C# classes from JSON

Category: converters
Tool ID: json-to-csharp-class
Tier: free",To Do,"converters,Simple",,
XML to JSON Schema,"Generate JSON Schema from XML

Category: converters
Tool ID: xml-to-json-schema
Tier: free",To Do,"converters,Simple",,
JSON to Protobuf,"Convert JSON to Protobuf definition

Category: converters
Tool ID: json-to-protobuf
Tier: free",To Do,"converters,Simple",,
Protobuf to JSON,"Convert Protobuf to JSON

Category: converters
Tool ID: protobuf-to-json
Tier: free",To Do,"converters,Simple",,
JSON to Avro,"Convert JSON to Apache Avro schema

Category: converters
Tool ID: json-to-avro
Tier: free",To Do,"converters,Simple",,
